title,company,location,description
Data Engineer Intern,Amazon,Vancouver,"Build ETL pipelines using Python and SQL. Work with AWS S3, Glue, Athena. Experience with data modeling, Spark, and cloud systems preferred."
Data Analyst Co-op,RBC,Toronto,"Analyze large datasets using SQL and Python. Build dashboards with Power BI or Tableau. Collaborate with stakeholders to deliver insights."
Software Engineer Intern,Shopify,Remote,"Develop backend services using Python, Java, or Go. Work with distributed systems, APIs, and cloud infrastructure (AWS/GCP)."
Data Science Intern,BC Hydro,Burnaby,"Apply machine learning models, data preprocessing, and statistical analysis. Experience with pandas, scikit-learn, and visualization required."
Business Intelligence Intern,EA,Burnaby,"Create reports and dashboards using SQL and BI tools. Support data-driven decisions for product and marketing teams."
Cloud Data Intern,IBM,Markham,"Design cloud-based data pipelines. Use Python, SQL, Kafka, and Spark. Knowledge of Azure or AWS is an asset."
AI & Analytics Intern,Boeing,Vancouver,"Support analytics for large engineering datasets. Use Python, SQL, and data visualization tools. Interest in AI and data engineering preferred."
Backend/Data Intern,Clio,Burnaby,"Build APIs and data services using Python and PostgreSQL. Support ETL workflows and improve data reliability."
Operations Data Intern,BC Ferries,Victoria,"Automate reporting pipelines using Python and Excel. Maintain SQL databases and generate weekly dashboards."
Product Data Intern,PayByPhone,Vancouver,"Analyze user behavior data, write SQL queries, and build dashboards. Experience with data pipelines is a plus."
